Bin	DR	DD	RR	Omega
0	396640	2351128	1140728	2.365661
1	1183134	4356182	2673498	1.744311
2	1946034	5588810	4058074	1.418115
3	2673804	6483572	5272864	1.215436
4	3384960	7323460	6389386	1.086634
5	4079165	8173716	7468302	1.002060
6	4759665	8985516	8468448	0.936964
7	5439801	9790100	9434150	0.884515
8	6118643	10643526	10332780	0.845757
9	6763083	11408246	11201888	0.810932
10	7400761	12089022	12079676	0.775449
11	8043509	12825138	12896612	0.747075
12	8700032	13524576	13689646	0.716904
13	9351822	14169762	14445084	0.686130
14	10001971	14795376	15173000	0.656721
15	10650929	15507540	15922942	0.636103
16	11287809	16227806	16615896	0.617968
17	11904642	16890466	17302306	0.600122
18	12512494	17464722	17952540	0.578875
19	13076830	18042618	18572480	0.563276
20	13664795	18703864	19202908	0.550811
21	14255484	19387940	19816350	0.539621
22	14841039	20119902	20410568	0.531509
23	15397594	20833496	20986554	0.525330
24	15937647	21485332	21554450	0.517967
25	16496997	22086768	22096380	0.506379
26	17033858	22637162	22613924	0.494535
27	17576879	23159726	23166486	0.482268
28	18131943	23814676	23690034	0.474496
29	18653719	24394980	24223238	0.466939
30	19181504	24820654	24716626	0.452095
31	19738321	25170164	25170874	0.431626
32	20287317	25583384	25677664	0.416175
33	20797361	26092148	26137688	0.406888
34	21323442	26643290	26559342	0.397440
35	21848806	27239434	26976810	0.389914
36	22406043	27862888	27414842	0.381751
37	22947464	28679104	27826110	0.381307
38	23474453	29416352	28236482	0.379081
39	23961487	30147162	28636768	0.379266
40	24461545	30692238	29055224	0.372545
41	24916647	31114028	29423090	0.363790
42	25410012	31414204	29808902	0.348992
43	25898671	31573606	30167200	0.329612
44	26414949	31991826	30495256	0.316678
45	26912246	32620488	30876720	0.313269
46	27424418	33175390	31179808	0.304888
47	27917487	33749148	31518004	0.299263
48	28434065	34319864	31882404	0.292768
49	28921209	34715800	32196338	0.281700
50	29420158	35097950	32508302	0.269652
51	29903711	35402014	32811080	0.256184
52	30372947	35741462	33096836	0.244507
53	30801995	36038438	33388094	0.234291
54	31215239	36517524	33711848	0.231340
55	31616096	36800406	33967576	0.221852
56	32060438	37033210	34242822	0.208953
57	32486992	37508530	34510002	0.204131
58	32966934	37879226	34786904	0.193529
59	33374556	38171162	35051844	0.184695
60	33806224	38528836	35307176	0.176269
61	34230148	39033556	35542678	0.172073
62	34634142	39425074	35810696	0.166640
63	35055357	39586106	36068856	0.153713
64	35503979	39635392	36321352	0.136250
65	35899852	39729970	36554074	0.122677
66	36244612	40072616	36776276	0.118546
67	36590292	40423518	37017722	0.115098
68	36964113	40671278	37214878	0.106353
69	37367849	40968808	37434974	0.097985
70	37750525	41374942	37629866	0.093111
71	38102192	41845874	37837754	0.091952
72	38442212	42264624	38000452	0.088963
73	38744785	42781734	38204656	0.091529
